	
/DEV/corpus-preparation/nmt-tools/eval_script/meteor-1.5

% java -Xmx2G -jar meteor-*.jar cnn test.ko
Meteor version: 1.5

Eval ID:        meteor-1.5-wo-en-no_norm-0.85_0.2_0.6_0.75-ex_st_sy_pa-1.0_0.6_0.8_0.6

Language:       English
Format:         plaintext
Task:           Ranking
Modules:        exact stem synonym paraphrase
Weights:        1.0 0.6 0.8 0.6
Parameters:     0.85 0.2 0.6 0.75

Segment 1 score:        0.019801980198019806
Segment 2 score:        0.13929384284083493
Segment 3 score:        1.0
Segment 4 score:        0.12642806413264918
Segment 5 score:        0.0927536231884058
Segment 6 score:        0.16857934079658995
Segment 7 score:        0.15092277554437805
Segment 8 score:        0.12556053811659193
Segment 9 score:        0.07126948775055679
Segment 10 score:       0.10289389067524116
Segment 11 score:       0.20450259717837457
Segment 12 score:       0.10556235624802773
Segment 13 score:       0.37120055658383944
Segment 14 score:       0.11618257261410792
Segment 15 score:       0.14652443620316735
Segment 16 score:       0.2692004318409603
Segment 17 score:       0.017937219730941704
Segment 18 score:       0.21348364783120696
Segment 19 score:       0.08040201005025126
Segment 20 score:       0.04597701149425287
Segment 21 score:       1.0
Segment 22 score:       0.35066561417805825
Segment 23 score:       0.3326373916101292
Segment 24 score:       0.4746874210321036
Segment 25 score:       0.15687016815183102
Segment 26 score:       0.19228184439085572
Segment 27 score:       0.36284854406070305
Segment 28 score:       0.0631163708086785
Segment 29 score:       0.22784924253194402
Segment 30 score:       0.03187250996015937
Segment 31 score:       0.37508087879108576
Segment 32 score:       0.22497458789760746
Segment 33 score:       0.10493781113344777
Segment 34 score:       0.30718306239377846
Segment 35 score:       0.2085893720621509
Segment 36 score:       0.011644832605531296
Segment 37 score:       0.022857142857142857
Segment 38 score:       0.3326373916101292
Segment 39 score:       0.027303754266211608
Segment 40 score:       0.18325684043469853
Segment 41 score:       0.03571428571428571
Segment 42 score:       0.14475709289584604
Segment 43 score:       0.26501364489879387
Segment 44 score:       0.19546584635184674
Segment 45 score:       0.011379800853485065
Segment 46 score:       0.1322314049586777
Segment 47 score:       0.05714285714285714
Segment 48 score:       0.08421052631578946
Segment 49 score:       0.3019064956967698
Segment 50 score:       0.2992484949068654
Segment 51 score:       0.019801980198019802
Segment 52 score:       0.1297707826169021
Segment 53 score:       0.3436472388649824
Segment 54 score:       0.01869158878504673
Segment 55 score:       0.2823475108393371
Segment 56 score:       0.26390589062006936
Segment 57 score:       0.23336916207289132
Segment 58 score:       0.022284122562674098
Segment 59 score:       0.10596026490066227
Segment 60 score:       0.023880597014925373
Segment 61 score:       0.049004594180704436
Segment 62 score:       0.27063436941774816
Segment 63 score:       0.1
Segment 64 score:       0.05396290050590219
Segment 65 score:       0.12476186855339826
Segment 66 score:       0.367438201555635
Segment 67 score:       0.16000000000000003
Segment 68 score:       0.28264477042741154
Segment 69 score:       0.206142992342907
Segment 70 score:       0.18894226433515965
Segment 71 score:       0.051118210862619806
Segment 72 score:       0.08028657281908497
Segment 73 score:       0.10561449286798022
Segment 74 score:       0.12984095899305642
Segment 75 score:       0.07660738714090287
Segment 76 score:       0.10090880972772774
Segment 77 score:       0.3303840056962676
Segment 78 score:       0.08226221079691516
Segment 79 score:       0.46587458877791743
Segment 80 score:       0.19271132179609435
Segment 81 score:       0.07188703465982028
Segment 82 score:       0.0600375234521576
Segment 83 score:       0.15748031496062992
Segment 84 score:       0.11116602390334841
Segment 85 score:       0.3473961178344186
Segment 86 score:       0.01103448275862069
Segment 87 score:       0.10136618385013756
Segment 88 score:       0.32269103944577215
Segment 89 score:       0.18992829503869801
Segment 90 score:       0.06973848069738481
Segment 91 score:       0.11147483361081109
Segment 92 score:       0.11993461313776282
Segment 93 score:       0.1103448275862069
Segment 94 score:       0.10088060443977308
Segment 95 score:       0.09302325581395349
Segment 96 score:       0.14122068183161526
Segment 97 score:       0.05738880918220947
Segment 98 score:       0.13844217017111182
Segment 99 score:       0.2577644044639868
Segment 100 score:      0.06980238329858804
Segment 101 score:      0.30781179509730494
Segment 102 score:      0.11733355702924461
Segment 103 score:      0.16352561484037306
Segment 104 score:      1.0
Segment 105 score:      0.29386924783152635
Segment 106 score:      0.43330862984995455
Segment 107 score:      0.02056555269922879
Segment 108 score:      0.18673099055186237
Segment 109 score:      0.05797101449275363
Segment 110 score:      0.09914599663295642
Segment 111 score:      0.06754096699301823
Segment 112 score:      0.03489640130861505
Segment 113 score:      0.0905972216832053
Segment 114 score:      0.16502860051828291
Segment 115 score:      0.05289256198347108
Segment 116 score:      0.07963800904977376
Segment 117 score:      0.11813283194088799
Segment 118 score:      0.2815736955078972
Segment 119 score:      0.23811573364492603
Segment 120 score:      0.08142096511744185
Segment 121 score:      0.27540686456220353
Segment 122 score:      0.10389191932813102
Segment 123 score:      0.05514117560865613
Segment 124 score:      0.21507337468267196
Segment 125 score:      0.1121727019982041
Segment 126 score:      0.06313798444996002
Segment 127 score:      0.06680584551148226
Segment 128 score:      0.1555927237857738
Segment 129 score:      0.13864818024263434
Segment 130 score:      0.06939281288723667
Segment 131 score:      0.016701461377870565
Segment 132 score:      0.07233273056057868
Segment 133 score:      0.18677583670859585
Segment 134 score:      0.297593927273558
Segment 135 score:      0.06999999999999999
Segment 136 score:      0.17998587548972847
Segment 137 score:      0.1135618810157089
Segment 138 score:      0.04519774011299435
Segment 139 score:      0.33667517958418397
Segment 140 score:      0.11305019380001535
Segment 141 score:      0.06193535617472269
Segment 142 score:      0.15308108209641422
Segment 143 score:      0.4018013514934837
Segment 144 score:      0.06765327695560254
Segment 145 score:      0.11309753243315528
Segment 146 score:      0.052093023255813956
Segment 147 score:      0.419450023112985
Segment 148 score:      0.1425879588126345
Segment 149 score:      0.3407559335427444
Segment 150 score:      0.09226889909348641
Segment 151 score:      0.21225216928197618
Segment 152 score:      0.3665781714600878
Segment 153 score:      0.043795620437956206
Segment 154 score:      0.18938901004704184
Segment 155 score:      0.1884481876802592
Segment 156 score:      0.15480924612756156
Segment 157 score:      0.16388123381021136
Segment 158 score:      0.16597510373443983
Segment 159 score:      0.05087440381558028
Segment 160 score:      0.09447113216757984
Segment 161 score:      0.21932863869114094
Segment 162 score:      0.22284122562674097
Segment 163 score:      0.0973913043478261
Segment 164 score:      0.1619219193296019
Segment 165 score:      0.3238322841851552
Segment 166 score:      0.2847609276094563
Segment 167 score:      0.06412825651302605
Segment 168 score:      0.22809905069895633
Segment 169 score:      0.10218978102189782
Segment 170 score:      0.102755932285534
Segment 171 score:      0.05561993047508691
Segment 172 score:      0.11088171182175419
Segment 173 score:      0.013093289689034369
Segment 174 score:      0.0903938460067172
Segment 175 score:      0.0547945205479452
Segment 176 score:      0.12670077862250032
Segment 177 score:      0.1253114314476756
Segment 178 score:      0.16328697243522464
Segment 179 score:      0.11412944422542862
Segment 180 score:      0.09896034087901089
Segment 181 score:      0.1253993692943055
Segment 182 score:      0.3680302603370766
Segment 183 score:      0.0827178729689808
Segment 184 score:      1.0
Segment 185 score:      0.18693256987778414
Segment 186 score:      0.07424593967517401
Segment 187 score:      0.064
Segment 188 score:      0.06285127131872704
Segment 189 score:      0.05161290322580645
Segment 190 score:      0.0316622691292876
Segment 191 score:      0.09037996450221802
Segment 192 score:      0.12409965588802749
Segment 193 score:      0.3881032242326552
Segment 194 score:      0.06106870229007634
Segment 195 score:      0.16400675090895298
Segment 196 score:      0.0410783055198973
Segment 197 score:      0.11721469226375628
Segment 198 score:      0.1367751010314386
Segment 199 score:      0.1365566275885041
Segment 200 score:      0.07126948775055679
Segment 201 score:      0.13632797434119026
Segment 202 score:      0.11618257261410792
Segment 203 score:      0.13039022352573199
Segment 204 score:      0.24986024904858664
Segment 205 score:      0.10375963678449951
Segment 206 score:      0.61573953441365
Segment 207 score:      0.13098111577735919
Segment 208 score:      0.17376653034992337
Segment 209 score:      0.08356637257372115
Segment 210 score:      0.10522997408326672
Segment 211 score:      0.0781166654455962
Segment 212 score:      0.13410870378131662
Segment 213 score:      0.13887022094895132
Segment 214 score:      0.03841536614645859
Segment 215 score:      0.20447943188133083
Segment 216 score:      0.0916530278232406
Segment 217 score:      0.05289256198347108
Segment 218 score:      0.04592422502870264
Segment 219 score:      0.16944500909065321
Segment 220 score:      0.1076480712143687
Segment 221 score:      0.20292475090695475
Segment 222 score:      0.07547169811320754
Segment 223 score:      0.09649550946248557
Segment 224 score:      0.155826553955083
Segment 225 score:      0.015717092337917484
Segment 226 score:      0.16428262048585557
Segment 227 score:      0.054237288135593226
Segment 228 score:      0.06543063597653803
Segment 229 score:      0.10873786407766993
Segment 230 score:      0.24933037223150303
Segment 231 score:      0.012598425196850394
Segment 232 score:      0.0392638036809816
Segment 233 score:      0.2671457346847034
Segment 234 score:      0.20142869475655892
Segment 235 score:      0.45064878516271123
Segment 236 score:      0.2108335059960609
Segment 237 score:      0.14458328765072265
Segment 238 score:      0.1061315772883865
Segment 239 score:      0.10486952140482748
Segment 240 score:      0.08186248093656398
Segment 241 score:      0.013201320132013201
Segment 242 score:      0.10163339382940109
Segment 243 score:      0.10163339382940112
Segment 244 score:      0.03512623490669594
Segment 245 score:      0.1462569348292147
Segment 246 score:      0.2198351468158676
Segment 247 score:      0.1666715966415073
Segment 248 score:      0.01484230055658627
Segment 249 score:      0.07748184019370459
Segment 250 score:      0.03292181069958847
Segment 251 score:      0.1573675111517455
Segment 252 score:      0.0488328469325777
Segment 253 score:      0.07513821373016619
Segment 254 score:      0.06266318537859007
Segment 255 score:      0.09808766815001331
Segment 256 score:      0.18496405112190725
Segment 257 score:      0.09906264427660047
Segment 258 score:      0.146975280622254
Segment 259 score:      0.05691890582017874
Segment 260 score:      0.11493003822855194
Segment 261 score:      0.06018269747447609
Segment 262 score:      0.09205105022247796
Segment 263 score:      0.05785123966942149
Segment 264 score:      0.1334533989875918
Segment 265 score:      0.09790209790209792
Segment 266 score:      0.09758216181496125
Segment 267 score:      0.2239489379891249
Segment 268 score:      0.1183747421769444
Segment 269 score:      0.10698453544595939
Segment 270 score:      0.07026348808030113
Segment 271 score:      0.06388642413487135
Segment 272 score:      0.03155818540433925
Segment 273 score:      0.023255813953488372
Segment 274 score:      0.20491606243355556
Segment 275 score:      0.11491582073593913
Segment 276 score:      0.045944005743000726
Segment 277 score:      0.07591240875912408
Segment 278 score:      0.01436265709156194
Segment 279 score:      0.09099526066350712
Segment 280 score:      0.08446125376901384
Segment 281 score:      0.17581649494759988
Segment 282 score:      0.1178001486624789
Segment 283 score:      0.03875432525951557
Segment 284 score:      0.11103075407327061
Segment 285 score:      0.0940583106351205
Segment 286 score:      0.15444284684324616
Segment 287 score:      0.5498648826932333
Segment 288 score:      0.03041825095057035
Segment 289 score:      0.1256990113993435
Segment 290 score:      0.2073304234760475
Segment 291 score:      0.01680672268907563
Segment 292 score:      0.1688997699968444
Segment 293 score:      0.11546951455583905
Segment 294 score:      0.06705783738474434
Segment 295 score:      0.07670610220646826
Segment 296 score:      0.05633483645787685
Segment 297 score:      0.1183747421769444
Segment 298 score:      0.09649691202712776
Segment 299 score:      0.14396932762782685
Segment 300 score:      0.025723472668810296
Segment 301 score:      0.12395505594647926
Segment 302 score:      0.1082057706497143
Segment 303 score:      0.11724403952083544
Segment 304 score:      0.10884971515987646
Segment 305 score:      0.005201560468140442
Segment 306 score:      0.11349643754180319
Segment 307 score:      0.12943280484902459
Segment 308 score:      0.1225657635165075
Segment 309 score:      0.03297609233305854
Segment 310 score:      0.27365762793130344
Segment 311 score:      0.08774643619239045
Segment 312 score:      0.12832514757919905
Segment 313 score:      0.2235471849422144
Segment 314 score:      0.040345821325648415
Segment 315 score:      0.0521901211556384
Segment 316 score:      0.1318990298591274
Segment 317 score:      0.12720580814362503
Segment 318 score:      0.5022241625882126
Segment 319 score:      0.052747252747252754
Segment 320 score:      0.0726362292310884
Segment 321 score:      0.056059533574232136
Segment 322 score:      0.1522453106047253
Segment 323 score:      0.04472843450479233
Segment 324 score:      0.1668694318218329
Segment 325 score:      0.10131059062060185
Segment 326 score:      0.09549260765217066
Segment 327 score:      0.028985507246376815
Segment 328 score:      0.19845549142385494
Segment 329 score:      0.29721717562371164
Segment 330 score:      0.12254071910529993
Segment 331 score:      0.05315614617940199
Segment 332 score:      0.04371584699453552
Segment 333 score:      0.08609271523178808
Segment 334 score:      0.030245746691871453
Segment 335 score:      0.07722007722007723
Segment 336 score:      0.1519777782312168
Segment 337 score:      0.4040773821199005
Segment 338 score:      0.11168381327774085
Segment 339 score:      0.09633105188376567
Segment 340 score:      0.12564680362614994
Segment 341 score:      0.1752185822525606
Segment 342 score:      0.10189130275512547
Segment 343 score:      0.1354337268995175
Segment 344 score:      0.16988843936775064
Segment 345 score:      0.11144025973983072
Segment 346 score:      0.02708192281651997
Segment 347 score:      0.11766267131361777
Segment 348 score:      0.04815689266960201
Segment 349 score:      0.034782608695652174
Segment 350 score:      0.11718074650868424
Segment 351 score:      0.39078560667757234
Segment 352 score:      0.136
Segment 353 score:      0.08849557522123895
Segment 354 score:      0.05284015852047556
Segment 355 score:      0.07244501940491592
Segment 356 score:      0.03154263183834401
Segment 357 score:      0.08870526965725178
Segment 358 score:      0.15485098056609142
Segment 359 score:      0.04344453064391001
Segment 360 score:      0.06523293369275171
Segment 361 score:      0.17277053987716814
Segment 362 score:      0.39864179742330685
Segment 363 score:      0.10779569241688587
Segment 364 score:      0.12413666444218772
Segment 365 score:      0.09866248860919505
Segment 366 score:      0.190889602400608
Segment 367 score:      0.1424550716189601
Segment 368 score:      0.21531819419080783
Segment 369 score:      0.1344385723111594
Segment 370 score:      0.1385472669467445
Segment 371 score:      0.07436352214823685
Segment 372 score:      0.19376424278125537
Segment 373 score:      0.10385099347024765
Segment 374 score:      0.232641823481116
Segment 375 score:      0.03336809176225235
Segment 376 score:      0.3203232881282213
Segment 377 score:      0.03076923076923077
Segment 378 score:      0.08808864145849983
Segment 379 score:      0.08835508199256886
Segment 380 score:      0.0960216724720574
Segment 381 score:      0.07296612453518689
Segment 382 score:      0.12129021863332226
Segment 383 score:      0.06568901412470589
Segment 384 score:      0.10441224613611833
Segment 385 score:      0.3307369891173131
Segment 386 score:      0.20314690134600671
Segment 387 score:      0.23695000145414122
Segment 388 score:      0.009216589861751152
Segment 389 score:      0.42487001110165284
Segment 390 score:      0.21502814367564493
Segment 391 score:      0.23301126358309668
Segment 392 score:      0.09909656987955631
Segment 393 score:      0.058234758871701556
Segment 394 score:      0.06141850602527121
Segment 395 score:      0.07259528130671507
Segment 396 score:      0.1518420359411146
Segment 397 score:      0.09788328195042591
Segment 398 score:      0.17855635636413478
Segment 399 score:      0.10372771474878445
Segment 400 score:      0.20473659629283378
Segment 401 score:      0.2397451858964676
Segment 402 score:      0.12555917085457494
Segment 403 score:      0.2731493141151068
Segment 404 score:      0.1753438158595233
Segment 405 score:      0.19008617344174913
Segment 406 score:      0.18318092395244237
Segment 407 score:      0.12491744373699759
Segment 408 score:      0.1674652173771867
Segment 409 score:      0.1424550716189601
Segment 410 score:      0.2616126199457199
Segment 411 score:      0.12367551389039944
Segment 412 score:      0.05118829981718464
Segment 413 score:      0.21091603902381556
Segment 414 score:      0.06837606837606838
Segment 415 score:      0.06401528703739497
Segment 416 score:      0.0791960076395409
Segment 417 score:      0.08645014820001172
Segment 418 score:      0.05161290322580645
Segment 419 score:      0.08809383026303083
Segment 420 score:      0.06011560693641618
Segment 421 score:      0.15607290328801324
Segment 422 score:      0.45255176327021757
Segment 423 score:      0.1822220406509009
Segment 424 score:      0.03928004609456017
Segment 425 score:      0.20113671902032657
Segment 426 score:      0.16107231813937073
Segment 427 score:      0.19008617344174913
Segment 428 score:      0.1369283970495267
Segment 429 score:      0.08369508967158389
Segment 430 score:      0.017241379310344827
Segment 431 score:      0.17304531438560736
Segment 432 score:      0.076801412415904
Segment 433 score:      0.1968896915801197
Segment 434 score:      0.319331878339634
Segment 435 score:      0.0697384806973848
Segment 436 score:      0.11343842831674475
Segment 437 score:      0.06266827197949386
Segment 438 score:      0.08587242224723204
Segment 439 score:      0.09925288913943624
Segment 440 score:      0.03869407496977026
Segment 441 score:      0.1541485401969367
Segment 442 score:      0.12991402668505725
Segment 443 score:      0.12264665838581466
Segment 444 score:      0.03368421052631579
Segment 445 score:      0.17743205088542938
Segment 446 score:      0.11844822148675845
Segment 447 score:      0.05913410770855333
Segment 448 score:      0.07599430205487448
Segment 449 score:      0.04162330905306971
Segment 450 score:      0.1813871832920303
Segment 451 score:      0.08587943848059454
Segment 452 score:      0.10744265581149753
Segment 453 score:      0.03048780487804878
Segment 454 score:      0.09461298690990426
Segment 455 score:      0.05263157894736842
Segment 456 score:      0.47676585300776475
Segment 457 score:      0.1844284409352608
Segment 458 score:      0.08562407264569297
Segment 459 score:      0.0918200366071464
Segment 460 score:      0.07857172064507564
Segment 461 score:      0.15390062805339055
Segment 462 score:      0.05287239450940519
Segment 463 score:      0.22634949580657157
Segment 464 score:      0.14782813524868876
Segment 465 score:      0.053364279381855693
Segment 466 score:      0.10393261823840451
Segment 467 score:      0.09113622804204646
Segment 468 score:      0.0567025706577832
Segment 469 score:      0.0842275391166344
Segment 470 score:      0.05204460966542751
Segment 471 score:      0.209264986182325
Segment 472 score:      0.07853225374397893
Segment 473 score:      0.08474576271186442
Segment 474 score:      0.056968463886063074
Segment 475 score:      0.15837059597545944
Segment 476 score:      0.04950495049504951
Segment 477 score:      0.06145251396648044
Segment 478 score:      0.02689075630252101
